,Tweets,Etiquetas
4566,#Gallardón : la policía ha actuado  obligada x violencia provocada.Desde  q es Ministro se ha quitado careta ideológica http://t.co/2yQJpSFY,N
4567,"Gallardón, sobre Valencia: violar la ley debe tener igual reproche para menores - http://t.co/OrVPSEdJ (EP)",N
4568,RT @CesarxG1: Si tuvieras q buscar un paraiso terrenal a #QROO has de viajar XQ ES EL #1 @paurubio (cont) http://t.co/zHk9BW40,P
4569,"¿Por qué hoy sí hablan de ""excesos"" en Valencia y ayer era una carga ""proporcionada""?#primaveraestudiantil",N
4570,"Ministro de Interior asegura que los detenidos esta noche forman parte de un comando legal de #eta. ""el estado no está en tregua""",N
4571,Acusaban al PP de crispar y ahora escriben cosas así... flipo. Para sobrevivir hacen falta estos excesos? http://t.co/xJzHH0LH,N+
4572,"La policía llama enemigos a los estudiantes, la CEOE lo insinúa de los trabajadores y el Gobierno de los sindicatos.  ¿Antisistemas?",N+
4573,". @esperanzaona lleva ella personalmente su presencia en las redes sociales : directa, cercana y espontánea http://t.co/KRlhrYD9",P+
4574,";-)) RT @isajoma14: En la presentc de la nueva web de @esperanzaona http://t.co/KRlhrYD9, @mariviromero y @anagposadas",P
4575,"""@petita31: a veces tienes la gracia en el culo colegaaa"" Así se me está poniendo de durito.",N
4576,Rosa10 denuncia el intento del PP y el PSOE de aislar a UPyD y no a Amaiur http://t.co/33CdaIMm,N
4577,Aterrizamos en Marsella ! Aterrati a Marsiglia ! Just landed in Marseille !,NONE
4578,Acabamos de presentar una nueva herramienta de coordinación entre los distritos y Lipasam para que #sevillahoy esté más limpia,P+
4579,Apuesta del @ppandaluz por la justicia @antoniosanz http://t.co/8TwBOSSx #elcambioandaluz,P+
4580,Racista me llaman... En fin.Insisto que me gusta ser consciente de lo q es nacer aquí incluso cd estoy mala comparado con un país olvidado.,N
4581,Queda prohibido defender en twitter el respeto a la ley. De hacerlo serás atacado e insultado #YDicenDefenderDerechos,N
4582,@lazaroelmundo @@JFernandezArce @@lazaroelmundo :)),P
4583,Hoy en mi blog: ¿Cuál es nuestro camino? #hagamos_nuestro_propio_camino http://t.co/gLISolyr,NONE
4584,"En definitiva, un paso más para la creación de empleo en #sevillahoy, una prioridad para este gobierno.",P+
4585,"Comunidado SUP protestas Valencia http://t.co/J9ywoeEK Sobre las palabras del Ministro dicen ""políticamente cobarde y moralmente miserable""",N+
4586,En @SextaNoticias estamos buscando a este estudiante agredido por un Policía en Valencia http://t.co/wJnwBuNO #Ayuda,N
4587,importante.. http://t.co/aI432yAg,NONE
4588,Ha llegado el momento ;-)) #queganas ;-)) #chatidieta @mariarojo82 ;-)) http://t.co/SaKfTRHT,P+
4589,"Rajoy sobre la carta: ""He firmado porque me parecía que era una buena carta... No hay ningún frente de nadie contra nadie"" Visto en @24h_tve",P
4590,Los diputados de ERC y algunos de la Izquierda Plural exhiben pancartas de DIMISIONES en el pleno del Congreso de los Diputados.,N
4591,"Policía anditisturbios, defendiéndose de un peligroso antisistema que le quería golpear con sus gafas. Dentro vídeo http://t.co/aodWxkbx",N
4592,Y las ballenas son reales ¡¡. http://t.co/HPWHq4bQ,NONE
4593,"Hoy m acompañan en @DHAM_13tv @GOTZONEMORA @Alejandro_vara Marina Castaño, Luis Peiro, @noeliamtnez y Alfonso Serrano 00.01h! @13television",NONE
4594,El comité de empresa denuncia la manipulación de Canal 9 sobre las protestas de los estudiantes http://t.co/T0u0QPdS vía @Kuauer,N+
4595,"Un consenso cosmopolita frente a los fallos de derechos y libertades de la tecnología, la política y la globalización http://t.co/QniY7CHh",NEU
4596,"@iescolar es indignante! Los chavales han dado hoy, sin policía represiva, una lección de urbanidad. Para cuándo las destituciones?",N
4597,hay q pedir yogures gratis! “@jorgevalin: Salvar a los griegos cuesta a cada español 360€ http://t.co/KM1lHlQf #LET”,N
4598,El PSOE sigue con sus líos. Griñán se planta. @TelediarioInter 20:30,N
4599,RT @peopleenespanol: Hijo de Paulina Rubio @PauRubio asiste al primer concierto de su mami http://t.co/SsQe34AC @betoborge,P
4600,Encuesta cachonda en la web dl PSOE-A: Ves justo q subamos los impuestos a quienes +tienen para mantener la calidad d educación y sanidad?,NEU
4601,En el avión camino de Tenerife junto a @PastoraSoler @Chelu_Sanchez e @Igorbustamante :-) hasta luego!!!,P
4602,Ojala pueda ir pronto besos Rosarinos. RT @JuliDecastello: @AlejandroSanz Besos enormes desde #Rosario Argentina! ... http://t.co/VysPgSkt,P
4603,"Miss u guys back. Viva Argentina. . ;) RT @vemariaramona: @AlejandroSanz , cuando venis a Argentina? We miss u!!!",P
4604,"Buena frase que llega una semana tarde Fdez-Díaz:  ""Estamos para controlar los excesos no para excedernos en el control"" vía @sanchez_sonia",NEU
4605,a ver esta peli de nuevo  (watching El Pianista) http://t.co/q0oqr870,P
4606,Nosotros también somos el enemigo y no pensamos irnos a Laponia. Nos quedamos aquí a defender nuestros derechos.,NEU
4607,Muakkkkk RT @begochacon: @mariviromero el beso mas grande para ti por ser la tweetera mayor!!!!,P
4608,"Mil gracias ;-)) RT @PPOjen: @mariviromero Gracias a ti, las redes sociales no serían lo mismo ;)",P+
4609,Cenando con @josecorbacho @ChristianG_7 @MercheOficial  y @manuelbueno85 con esta compañia se cena bien agusto...me falta @jessica_bueno90,P+
4610,Busca. ;) RT @DaMa_MoCa: @AlejandroSanz que es lo que no se ve??,NONE
4611,A grabar...,NONE
4612,"Campeón: Dorribo mantiene q pago al exministro José Blanco,a cambio d favores en ministerios,hoy le toca declarar al primo político d Blanco",N+
4613,Portada ABC http://t.co/BxBSwEVW ...,NONE
4614,Portada El Mundo http://t.co/FiimifC6 ...,NONE
4615,Portada La Razón http://t.co/FqEz1ZJd ...,NONE
4616,Portada La Gaceta http://t.co/Q0GC814A ...,NONE
4617,Portada Qué - Barcelona http://t.co/13oEIaM5 ...,NONE
4618,"Embajada EEUU en Kabul bloqueada y viajes suspendidos ante la violencia desatada x quema de Coranes.Manifestantes gritaron""muerte a América""",N+
4619,Hoy interpelamos al gobierno sobre los desahucios inhumanos y la dación en pago.,N
4620,RT: Burundanga es el término “@quediario: portada del diario Qué! del miércoles 22 de febrero http://t.co/4yhOq7qS”,NONE
4621,RT @otiarmi: Día para intentar la igualdad salarial de hombres y  mujeres. #stopdiscriminaciónsalarial,P+
4622,Una foto de hoy en El Mundo...  http://t.co/WpqIycnB,NONE
4623,Me gusta: http://t.co/CSb5a414,P
4624,Hoy en #Torremolinos @eliasbendodo @javierarenas_pp @jmsoria presentan el #LibroBlancodeTurismo para #Andalucia,P
4625,"Amaiur a punto de preguntar por primera vez a Rajoy. En un minuto, en directo @La_SER",NONE
4626,"Rajoy a Rubalcaba ""tenemos una legislación laboral de hace 30 años y los tiempos han cambiado..la Reforma es buena, justa y necesaria""",P
4627,"Ya tenemos nueva cortina d humo dl gobierno Mas:Eurovegas,el nuevo bienvenido Mr Marshall.Mientras,sigue creciendo el paro y fuga d empresas",N
4628,"Ahora Dña. Soraya ,portavoz del PSOE resalta lo obvio: Que el gobierno no presentará los presupuestos hasta después de las elecciones.",N
4629,Venga!!! CAfé para todos.RT @Rumbian1: @Buenafuente buenos dias. Un cafe? Esta recien hecho,P
4630,Wert sale a frase magistral por día. O por hora. Arranca sin ver problema en que se emigren los investigadores http://t.co/Stmjhskz (sigue),N
4631,La reunión con la @CoordiONGD ha sido muy fructífera. Gracias. Los retos de la cooperación estos años requiere la unidad de los actores.,P+
4632,Imprescindible http://t.co/xrNQTHxC vía @guardian,P
4633,Puño de hierro de los decretazos  con los ciudadanos y el guante de seda del código de buenas prácticas para los bancos: Dice Coscubiela.,N
4634,"#LibroBlancodeTurismo @javierarenas_pp "" que gran noticia es que el gobierno vaya a abrir una linea ICO especial para ayuntamientos y CCAA""",P+
4635,"Con déficits propios, Alemania urge a otros a hacer reformas, xo no se aplica el cuento. ""Una pena"", dice el Economist http://t.co/ottwIBDR”",N+
4636,"#LibroBlancodeTurismo @javierarenas_pp "" estoy preocupado con la situación pero tengo esperanza """,N
4637,Lo que os adelanté en exclusiva tuitera. Fernando Martín pierde la batalla legal con Jove por la compra de Fadesa http://t.co/y2jl9vFV,NEU
4638,"RT @MPedro_90: @Albert_Rivera por supuesto todas!Ya quisiera yo que #CLM fuera la que mas aportase al estado, eso sería una magnifica señal",P
4639,N la pelu: D los creadores d: tiene l pelo lejioso aburrido e irreverente! Llega con fuerza:Vazquez a ver como l quito las mechas berenjena,N
4640,,NONE
4641,"ja, ja!!!! @IsmaJuarez: @Buenafuente das el perfil para el anuncio de Kalise!!! @Rumbian1”",P
4642,. @javierarenas_pp  llama a la regeneración en #Andalucía frente a la corrupción y al sectarismo  http://t.co/bcVOX4sK #elcambioandaluz,N
4643,Correcto @alexielpr: @Buenafuente cualquier cosa con tal de no pagar un taxi...”,N
4644,Me gustan unas nueces quemadas que dan. Y el atún picante. Y el cangrejo blando. #enmibarrio http://t.co/FHuoST62,NONE
4645,En serio?“@VictorNovel:un saludo de un ex concursante del Juego d Euromillon q recuerda lo amable q eras. Hasta consegui novia x el concurso,P+
4646,Qué cansinismo ( gracias @JoseMotatv ) con las idas y venidas en @rtve Tanto y tanto se dice que quizá alguno por casualidad se acerque. Uff,NEU
4647,.“@Fredense: @PilarGGranja Muy bueno el telediario de hoy. Enhorabuena a todo el equipo.”,P+
4648,Ahora estoy saliendo para jugar con @MCFC. Ojalá q cuando termine el partido lleguen noticias de q están mejor. Y q no haya fallecidos,NEU
4649,"#libroblancodeturismo @jmsoria "" en España de cada 100 euros que se producen, 10 proceden del turismo""",NONE
4650,"El penúltimo disparate del ministro Wert. Ofendiendo al 15-M: ""ignorancia"", ""simpleza""... http://t.co/wsQ1gD5W",N
4651,EL PAÍS estrena portada. Nueva home. Aquí estamos.http://t.co/62i9JviF,P
4652,En el blog: Todos juntos contra el paro http://t.co/2bOua0zm,N
4653,Obama se arrancfa a cantar. No es el único. Os lo mostramos en el @TelediarioInter 20:30,NONE
4654,"Ah! Hoy con @JesusCintora @GOTZONEMORA Begoña Aranguren, @Perez_go en @TDtarde",NONE
4655,"EL PAÍS estrena página web tras meses de transformaciones, también en la redacción. Puedes verla aquí http://t.co/Gj10eLcc",P
4656,Este video explica en detalle cómo moverse por la nueva web de EL PAÍS y explotar a fondo sus funcionalidades http://t.co/Ow7jownh,P
4657,El PP cambiará la Ley de Costas para legalizar las casas anteriores a 1988 http://t.co/OdaaJoHD,P
4658,Bruselas será ligeramente flexible con los objetivos de déficit de España de 2012 http://t.co/rKGqVGLj,N
4659,"Sí. También hablamos con él RT “@didccss: ¿y el pelirrojo q pasa x ahí, es el mismo q el de las portadas de periódicos?”",NONE
4660,"Mi artículo en ESD: ""El dudoso ascenso de Sánchez de León le estalla al ministro del Interior"" http://t.co/T2fTh5qg vía @Semanaldigital",N
4661,"Lamento mi ausencia hoy, pero ha merecido la pena. Preparar la presentación de la conferencia de Bill Gates en Madrid ha devorado mi tiempo",NEU
4662,"Insólito! El ministro de Exteriores, Margallo, hombre de ""extremo centro"", felicitado por su tono moderado por toda la oposición",P
4663,Abrazos RT @ASanzQuotes: Pide a las estaciones de radio de tu pais que apoyen a #PositiveGeneration de ... http://t.co/dd3feBPR,P
4664,¡¡Gracias a todos los que seguisteis anoche @75Minutos !!,P+
4665,Camps ha vuelto hoy a Les Corts Valencianes tras siete meses sin hacerlo. ¿Le aplicarán lo de la reforma laboral sobre absentismo?,N
4666,Me cuentan que Intereconomía ha abierto su telediario con uno de mis tuits. Supongo que con mi blog les daría para un documental de una hora,NEU
4667,"El tuit en cuestión es éste. Como ven, hice algo terrible: informar sobre las horas de las manifestaciones convocadas http://t.co/6Dg4cj5N",N
4668,http://t.co/F2rzgDV2 ahi os lo dejo a ver is os gusta.,P
4669,"Impresionante @Carlos_Latre y su ""Yes, We Spain Is  Different""! No os lo perdáis!!! Casi dos horas sin parar de reír! Enorme!!",P+
4670,@sanchez_sonia menos mal que has especificado!!!! ;-),P
4671,A ver si se me pega algo http://t.co/q9f7aJ0d,NONE
4672,"Nuevamente me lo he pasado genial en @El_Hormiguero Gracias por todo, por vuestra atención y por cuidarme tanto!! Un beso a todo el equipo!!",P+
4673,"Portada de 'Público', jueves. Bonificaciones a bancos por no desahuciar; Diccionario Biográfico alternativo. http://t.co/pmksjZ3M",N
4674,"Too much, too soon “@Sara_MonteroM: Por cierto, @pedroj_ con mi edad estaba dando clase en EE UU como profesor de Literatura Española.",NONE
4675,Muy buenas noches followercetes! http://t.co/Edkg4j3p,P
4676,Dificultades en el CGPJ para reunir los  apoyos para designar al sustituto de Gómez Bermúdez en la Audiencia Nacional  http://t.co/FAZv6uYx,N
4677,"Me gustaría morir como mi padre, durmiendo y no chillando como sus pasajeros...#chistesdepilotos",N
4678,Luz o no luz...? Quién es más rápido? RT @Reuters: Was Einstein wrong - or was the cable loose? http://t.co/XgO25IoH,NONE
4679,RT @_JAFET: OMG D: #MeVoy @paurubio Feat @EspinozaOficial Se encuentra en el Lugar 2 del Top Pop (cont) http://t.co/7ofT6bl2,P
4680,Bdías. Hoy se cumplen 30 años de mi expulsión del juicio del 23-F. Esto es lo que pasó. Mi segundo 23-F   @via Orbyt http://t.co/hi0qGn1q,NONE
4681,“@MikkeCool: @David_Busta Que pasa con la dieta nene????”AL CARAJO! jajajaja,NONE
4682,“@tttatitasanz: @David_Busta te suena CHILE Festival de viña? Quisiera verte por estos lares :)”Y YO QUIETO IR!!!,P
4683,Portada 20 Minutos - Sevilla http://t.co/7APsmBFi ...,NONE
4684,2 turistas españoles rescatados en Colombia al encallar el velero en que viajaban.,P
4685,Hoy Pleno de Enero @malaga #plenomlg (@ Ayuntamiento de Málaga w/ @jesusespino) [pic]: http://t.co/Yt5dHpdd,NONE
4686,"“@Vertele: Audiencias: ""Con el culo al aire"" sube y amplía su liderazgo y ""Tú sí que vales"" sigue segundo http://t.co/UgAAqOJs” Ouygrrrrrr.",P+
4687,Aquí teneis a un enfermo de la unidad de salud mental del Clínico en los pasillos #AndaluciaImparable  http://t.co/rOQqAjX1,N
4688,"23F trabajando con normalidad en el Congreso, como debe ser. Nada que ver con el sarao de autobombo que organizó Bono el año pasado.",P
4689,La Guardia Civil implica al exconsejero José Antonio Viera en los ERE de Andalucía. Ahora es diputado. http://t.co/wq50qh0p,N+
4690,"Como comprenderéis, abrumado por el cariño d mis amigos y d todos vosotros!!!;) GRACIAS D CORAZÓN!!;)",P+
4691,"Un muerto y 8 heridos graves en un accidente de tráfico en Ávila. Al parecer, aún,hay personas atrapadas.Hay un autobus escolar implicado",N+
4692,. @La_SER Mirad: enfermos mentales del Clinico #Malaga en los pasillos.... #sonpersonas  http://t.co/FoqZ3Q9d,N
4693,. @elconfidencial Mirad: enfermos de salud mental de el Clínico #Malaga en los pasillos...Andalucia imparable?  http://t.co/3AdFiyA9,N
4694,"Bosch-ERC subea  la tribuna para decir que el veto del PP en comisión Secretos Oficiales es una caza de brujas. ¿Q tienen ctra mí?, dice.",N+
4695,"Bosch-ERC termina su intervención en tribuna: Me tengo que marchar ""lo antes posible de un territorio que ustedes están pudriendo"".",N
4696,Y esto? Facturas de las clases? La Ual envía a sus alumnos facturas informativas sobre el coste real de la formación http://t.co/ykpZ4cK8,NONE
4697,"El Grupo Mixto pide q se repita la votación con Joan Tardà, tb de ERC, como candidato. Petición denegada.",N
4698,A ver que vota el @psoemalaga en el #plenomlg sobre nuestra propuesta para evitar esto...#sonpersonas 100 camas mas http://t.co/vhB3pYBq,NONE
4699,"Uy! RT @psoedeandalucia: Ante las medidas de Rajoy, el #25M elige a alguien que te defienda, que no trague con todo. http://t.co/HYts4Cbg",N
4700,@periodistas21 corregido. Abrazo.,P
4701,@PauladeLasHeras pero no estaban juntos en el texto contra ETA que UPyD impidió votar? Los demás grupos no se plantan contra la injusticia?,N
4702,"Ya está. Rajoy establece su calendario oficial para las próximas semanas. Los presupuestos ""realistas"" se ... http://t.co/C0LCjAML",N
4703,"Reacción @alfredbosch veto Comisión Secretos Oficiales: ""Un golpe a la democracia digno de ""conmemorar el 23F... El PP está pudriendo España",N
4704,"La justicia eleva a marlaska a la vez k expulsa a Garzón, relevante jornada.",NEU
4705,Oleeeee Rosita ;-))) RT @RosaRojoP: Aqui estoy @Gemmadelcorral @mariviromero,P+
4706,"Presentamos ahora una moción en el #plenoMLG para solicitar que se haga ya el Centro de Salud de Gamarra , prometido desde 1986 x la Junta!",N
4707,En el @TelediarioInter con @PilarGGranja,NONE
4708,"para los papas, por favor lean este articulo, vale la pena.http://t.co/LIRZK3gd",P
4709,"Según la Agencia Europea d Medio Ambiente,España es líder europeo en contaminación atmosférica. Así tengo yo la alergia!!",N+
4710,"Reunión con el presidente del Consejo de Ministros italiano, Mario Monti http://t.co/K1BeTU4M http://t.co/MgCQk9Bi",NONE
4711,+1RT @ang_guillen: Todavía tenemos q oir en el #parlament q El Prat ha de ser Hub internacional cuando no hay mercado para + es surrealista,N
4712,Putin co retórica mas nacionalista conforme.se acerca 4Mazo http://t.co/ZV5h72RK #FT,NONE
4713,"Es muy triste tener jóvenes encapuchados x Valencia cuya profesión es el fascismo, la violencia y la intolerancia. @Intereconomia",N+
4714,que también ha llegado a Twitter @MarTorresCasado ;-))) gran compañera y amiga,P+
4715,Mañana en #losdesayunosdetve ampliamos el foco con Fiona Ortiz responsable de @Reuters en España y Mathieu de Taillac d @Le_Figaro,P
4716,"Felicidad, poder compartir unas risas con tus ídolos... http://t.co/WK20RRZz",P
4717,Se hace raro iniciar La Brújula a la 13.00 hora local y el sol pegando tan fuerte...,NONE
4718,La Junta de Andalucia solo ha ejecutado el 4% de las VPO prometidas desde 2008 http://t.co/eUlX6Avj,N
4719,. @PepeGrinan : la película - YouTube http://t.co/BYQjFd8X #GriñanLaPelicula Nominada a Los Oscars,P
4720,Alemania aislada ante la ministerial G20 sobre su resistencia para ampliar el fondo de rescate.Spiegel http://t.co/bli0Fv0f,N
4721,Aquí se puede ver el momento d la agresión a los reporteros de @intereconomia:  http://t.co/miDdB2Kv vía @elconfidencial,N+
4722,"El mundo árabe, cada día menos seguro. Os lo contamos en el @TelediarioInter 20:30",N
4723,RT @Borja_Semper: Antón Damborenea (PP) denuncia en el Parlamento Vasco incoherencia de @UPyD al firmar con Bildu iniciativa parlamentaria.,N
4724,@carlos__alsina al sol?,NONE
4725,"no lo creo, damos voz a quien quiere,pero eso justifica una agresión? “@ViCurro63: sois una tv que manipulais mucho y no contais la verdad.”",N+
4726,"Por cierto, felicidades a @virginiapalonso, @fundeu y @emenesesm por sus premios @iredesburgos",P+
4727,"no lo se :) “@josemiguelspain: Se ha solidarizado con ustedes @pedroj_ramirez y @OndaCero_es ? Respondame, por favor.”",NEU
4728,Los derechos son nacionales “@karlitos: Para cuando el acceso a las pelis para orbyteros q vivimos fuera? Seguro q somos un alto porcentaje,NONE
4729,".“@AgCastellote: un abrazo fuerte para ti y los compañeros agredidos hoy, recordando q la única batalla que se pierde es la que se abandona”",N
4730,Tema: Ruiz Mateos! (TT mundial)“@goyobenitez: @susannagriso ha estado  con @julia_otero y @monegalferran. http://t.co/OCLzaha5”,NONE
4731,¡Lo mejor de mi timeline está disponible! http://t.co/0l0HzKDb ▸ Historias del día por @elpuertoac @jbello11 @paulasoto,P
4732,"Que bien para ser el dia 1 ;-)) RT @victorggpp: @margadcm jartani, estoy en ello, no quepo....",P
4733,O @PabloLopezMarca #Adrián selección!!!,NONE
4734,hahaha “@Absolutexe: @PilarGGranja @noelia_atance esto os va ha hacer sonréir http://t.co/bb1zHrBr”,P+
4735,El ACTOR que me gustaría haber sido... http://t.co/9MM2bRK6,NEU
4736,Limpieza de deuda en la TVG para su privatización @aprensamadrid La CRTVG sanea su deuda y cuesta 36 euros por gallego http://t.co/pOt3mZAQ,N
4737,"UFF! que agobio, ahora va y suena la campana!!! aaaaaah!",N
4738,esa soy yooooooo jaaaa,P
4739,uy la bañera!!!!,NONE
4740,"Gracias mil Sazatornil!Le abraza, Saza!Impecable siempre en todas sus interpretaciones.#clásicos http://t.co/OG6hUwHv",P+
4741,Estos tipos son geniales. Guilklermo ValadA es la aportacion Argentina al disco ;),P+
4742,Obsesionada con la hermosura de NYC en el nuevo Spiderman. Ayer pude ver ocho minutos increíbles. Allá va el aperitivo. http://t.co/sin1O0pX,P+
4743,"Todos los sueñosse hacen realidad,cuando d verdad lo deseas! Q sueñes mucho zzzzz",P+
4744,Portada La Gaceta http://t.co/KUz3v7Ej ...,NONE
4745,Iberia cancelará 107 vuelos este viernes por la huelga de pilotos - http://t.co/GGPDnBZ1,N
4746,"Buenos días!mi #FF es para todos los q anoche m acompañasteis viendo la serie d miedo d @antena3com,Mucho mejor con tanta gente felizViernes",P+
4747,Incorporar el crowd en las organizaciones. Interesante articulo de @antonigr http://t.co/URzCCU6D,P
4748,Que vergüenza....El @Psoe  llama puteroal ex alto cargo del fondo de reptiles #EREs vhttp://bit.ly/zfKVQ0,N+
4749,Toda la suerte del mundo esta tarde para @CBAvenida en la cancha del Schio. Nuestras chicas siguen siendo las actuales campeonas de Europa.,P+
4750,"La fiscalía investigará los negocios del número dos de la Diputación de Barcelona, vía @elperiodico_cas http://t.co/ym1qjt46",N
4751,Voy de camino ;-))) RT @Charodona: @mariviromero vendrás a las jornadas #conojosdemujer ?,P+
4752,#FF para #primaveravalenciana,P
4753,#FF para @Xavierdeltell que cumple tropecientos años (y apenas se le nota),P+
4754,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa,P
4755,Mañana MALAGA!!!,NONE
4756,Público cierra. Un abrazo para todos los ex compañeros @pflis @publico_es @haciendoelpino @Jonbarandica @javisalas @solucionsalina y demás,N
4757,No comparto línea editorial pero cada vez que se cierra un periódico se apaga una luz. Un abrazo fuerte a todos los trabajadores de Publico.,N
4758,"#ff para @mjguemes @yolanda_glez dos grandes periodistas que respeto, reconozco y animo. Con un fuerte abrazo.",P+
4759,Un abrazo para los compañeros de @Publico_es,P
4760,"Para los que no recuerden el colegueo de ""Queridoemilio"" (el financiero del ex juez Garzón)con ZP. Borrell sí sabe: http://t.co/wDyZg92J",NONE
4761,;-)))) RT @soniachaconp: @mariviromero Gracias!! Menudo #Piropazo :)) #caraamapolaOn,P+
4762,Gracias de corazón por tanto apoyo. Disculpad que no pueda responder ahora. Estoy hablando con compañer@s y colaborador@s de 'Público'.,P+
4763,Comunicado de los trabajadores de Público http://t.co/xkuESNgX,NONE
4764,Menos mal que hay socialistas q hacen autocrítica y reconocen los meritos de otros:  - España http://t.co/xXMj912n vía @elconfidencial,P
4765,"A las 3 en @A3noticias, se ultiman los preparativos para la declaración de Iñaki Urdangarín como imputado ante el juez de Palma",N
4766,"Un poco de humor, mis #trolldeldía: Señores que no distinguen al dueño del diario de un columnista #haztefan http://t.co/fGowJu6X",NEU
4767,Krispin Klander oro cómico #personajesmiticos http://t.co/WFDD7gRD,P
4768,Y el más tontaco de todos:,N+
4769,Os invito a participar en debate online sobre Proyecto de Ley contra el Dopaje en @ADI_elpv: http://t.co/5cH2NYy9 #Adidoping,P
4770,"@PauladeLasHeras Gracias, aunq otros no piensan igual. Las tuyas suelen quedar mucho mejor. Besos",P
4771,"Las fuerzas de Al Assad ejecutan a 18 personas, incluidos dos niños - http://t.co/ABRkyF5J Reuters",N+
4772,Referencia Consejo Ministros: Aprobado el mecanismo de financiación a las entidades locales para el pago a proveedores  http://t.co/eeU5ln8s,P
4773,el q de Guardiola? “@JSanye: @PilarGGranja @PuntoPelota Que no llevan bien lo de Guardiola.”,N
4774,Nunca pensé que a una viñeta de Forges le pondría esta cara :( RT @bidetxea: Forges despide a Público. http://t.co/PNXHRPIa,N
4775,ya. “@isaacj: @PilarGGranja es como si el PSOE os retira la acreditación por criticarlos.”,N
4776,@mgilguerrero Yo también lo creo,NONE
4777,".“@Ricardo_Witt: @hermanntertsch @PilarGGranja @mcuquerella Nos pegan, nos vetan, en fin, ladran luego cabalgamos”",N
4778,http://t.co/Igb4deBf,NONE
4779,Las nuevas medidas aprobadas por el Gobierno son un balón de oxígeno para la viabilidad de miles de empresas y del empleo #líneasICO,P+
4780,"“@SlaughterAM: Wow. ""Hamas condena  Assad, y apoya a los rebeldes""eran lo únicos sunitas  que http://t.co/eIxJR77m",N+
4781,"Hoy,con Magnús Scheving( SPORTACUS EN LAZY TOWN)UN fenómeno q ha vendido su serie infantil a + d 100 paises! http://t.co/DmNRDUIs",P+
4782,"Hasta siempre, por @manelfontdevila http://t.co/r1GxFNue",NONE
4783,Os dejo unas fotitos. Muchos recuerdos de mi infancia en esta entrevista. http://t.co/j7CmNLPi,P
4784,http://t.co/cGwsD1ic,NONE
4785,"En una horita, @laSextaColumna con su último trabajo sobre Urdangarin... Ya tienen etiqueta para comentarlo: #elduqueyeljuez",NONE
4786,"No estoy de acuerdo con lo que usted dice, pero me pelearía para que usted pudiera decirlo. Voltaire.",NEU
4787,"“@AberronchoTV: @David_Busta te mando un saludo de cántabro a cántabro, un abrazo.”ABERRONCHOOOOOO!!! Abrazo!",P
4788,Me han dicho que es maravillosa “@fboiza: @pedroj_ramirez Once también es muy recomendable. Gran banda sonora.”,P+
4789,Hoy me siento mas cerca q nunca de mis compañeros @iescolar @mjguemes @jesusmarana y @aliciaguti Un abrazo muy fuerte a los cuatro.,P+
4790,Empezamos @Gato_directo y hemos lamentado el cierre de #Publico. Enorme la intervención de @ajimenezgato q es necesario subrayar.,P
4791,Hasta mañana! Destino MALAGA! #TOURMIO 2012,NONE
4792,¡Lo mejor de mi timeline está disponible! http://t.co/0l0HzKDb ▸ Historias del día por @luisfernandez @asv7777 @savetchildren,P
4793,"Gracias a @Goyojimenez ya me he reído para toda la semana, ya puedo trabajar tranquilo. #IdAVerlo #EsUnNoParar",P+
4794,Hoy en la mañana en Malaga y x la tarde en Granada presentando las candidaturas de Izquierda Unida. Entrañable Pedro Vaquero. Salud amigo.,P+
4795,"No dejeis de leer la impresionante crónica de Javier Espinosa: ""Enterrados en el bunker"". 220  topos humanos en Homs, la mitad niños.",N
4796,:-) RT @telescopiodigit: @ccifuentes @pedrorollan visitó la sede de la UME en #Torrejon http://t.co/Osz4Xo30,NONE
4797,Muy buenas noches followercetes http://t.co/JL1d0Lia,P
4798,Una belleza para estas horas!  Te la dedico si no puedes dormir!  Emeli Sande - Daddy - Acoustic Harmony: http://t.co/j9KWFTSY vía @youtube,P
4799,Ok...... Nacio un nuevo #Che!!! Estoy listo!,P
4800,Llega el Duque de Palma. Andando. Con Mario Pascual Vives. Saluda a los medios.,NONE
4801,"El gran fichaje del @psoemalaga en #Ronda , gasta 77.000 euros en vino y fiestas vía @diario_sur http://t.co/gdTNy7O4",N
4802,Con una ley de transparencia como pide @UPyD esto no habría pasado: Valencia: fraude en las ayudas del Consell a ONGshttp://t.co/IDvlNbjN,N
4803,no tengo el menor interés “@alxnew: @PilarGGranja preguntarle si piensa lo mismo a @pedroj_ramirez”,N
4804,Buen sábado amigos!!;) las calles dvMadrid me están haciendo una perdida...;))),P+
4805,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa,P
4806,Hemos vivido el enero más contaminado de los últimos 3 años. Los niveles de No2 superan en un 47% lo permitido #Madrid http://t.co/cl3jtS0D,N+
4807,"Carlos Rojas , candidato por #Granada : "" el cambio es mas q necesario. El 25M elegimos otra forma de gobernar"" #elcambioandaluz",NEU
4808,.“@Mery_EG: @PilarGGranja No puedo estar más de acuerdo contigo.. Últimamente todo vale en este país..”,NEU
4809,Hasta la estación medidora de Casa de Campo registró niveles de contaminación por encima de lo permitido el mes pasado.#BoinaMadrid,N
4810,"Interviene ahora @esperanzaona "" el día 25 por la noche volveremos a ganar en #Malaga "" #elcambioandaluz http://t.co/NJs23BLG",P+
